,Accident_Index,Longitude,Latitude
805918,200920E008503,-1.837804,52.452734
368522,2.00661E+12,-3.225681,51.580177
1028988,201050AC2D002,-5.302128,50.218545
1361367,201301HT20424,-0.041772,51.533279
258679,2.00613E+12,-1.799435,53.761054
748976,200901KG70144,0.098417,51.530944
19250,200501TW60317,-0.319898,51.45513
608395,200806N002018,-2.304072,53.651987
756043,200901TA00081,-0.165682,51.528357
485741,2.00733E+12,-1.123432,52.634528
1586912,201442I002501,0.269494,51.498755
202294,200601EO41135,-0.123877,51.517714
1600,200501CW10737,-0.182886,51.519902
880407,2.00952E+12,-2.472355,51.444097
776098,200906J017704,-2.146131,53.392784
450243,200714C026207,-1.284742,53.332033
707532,200850BL2O004,-4.339129,50.6136
393369,200701HT65550,-0.059319,51.524128
87634,2.00522E+12,-1.987156,52.988096
20318,200501VK30163,-0.288293,51.415016
1555723,201420M005334,-1.557524,52.389356
775937,200906J011256,-2.149925,53.402577
569054,200797UC01107,-4.491791,55.591138
806523,200920E108803,-1.836301,52.461362
1376172,201301YE80263,-0.047215,51.658638
1593689,201443P327054,-1.15964,51.56697
1767422,201560S117184,-3.797453,53.266948
1178801,2.01147E+12,-0.197605,51.049582
1408656,2013160C08721,-0.52164,53.734424
621457,2.00812E+12,-1.708397,54.375361
619151,200811SK06098,-1.570357,54.621017
1339778,2012552D43870,-1.994292,50.800485
1413197,201320N063633,-1.837155,52.509282
1120202,201120K007971,-1.965195,52.508129
823232,20093102A1959,-1.173582,53.162857
749067,200901KG70274,0.078926,51.536687
1454528,2.01344E+12,-1.070068,50.794927
1044428,2.01062E+12,-3.215143,51.482633
1328467,201250AP2P005,-5.524838,50.126606
661697,2.00833E+12,-1.081623,52.662351
1541770,2.01413E+12,-1.853851,53.702898
625115,2.00813E+12,-1.547812,53.772593
1218719,201201KG70278,0.129911,51.55079
195140,200597KB70402,-4.431943,55.862437
89580,2.00522E+12,-1.775904,52.703095
1679267,2.0151E+12,-1.523841,54.912876
1433177,2.01335E+12,-0.088203,52.463108
1517929,201401YE80785,-0.029807,51.656638
860160,200945RE41857,-0.20901,51.239279
316205,200642A021004,0.196968,52.009893
365491,2006556P04587,-1.912961,50.735165
1101085,2.0111E+12,-1.456221,55.014627
278312,200620L074801,-1.750594,52.41761
496503,2007400C03494,-0.41945,51.880406
978731,2.01023E+12,-1.459112,52.518136
1545971,2014131BH1357,-1.560359,53.806085
141224,2.00544E+12,-1.070826,50.833926
1187112,2.01152E+12,-2.6232,51.447618
1361167,201301HT20204,-0.025908,51.500009
1445179,201342I347910,0.719963,51.564708
1187049,2.01152E+12,-2.471598,51.524216
1670890,2.01505E+12,-2.745704,53.454482
1652759,201501MM71066,-0.107595,51.497273
642910,200820M020703,-1.464244,52.435359
239934,200606L052776,-2.471732,53.518414
180988,2.00562E+12,-3.874041,51.665046
1697144,2.0152E+12,-1.849456,52.477152
203693,200601GD10598,-0.07891,51.56213
760479,200901XD80989,-0.308534,51.497772
1183141,201150ED2N026,-4.159729,50.375295
824052,20093102B3035,-1.069387,53.408664
1556413,201420N049394,-1.879881,52.564532
584536,200801RG40581,0.065395,51.489443
703741,2.00847E+12,0.082241,50.895671
1415370,201320Z001793,-1.989346,52.563244
428653,200706Q072924,-2.144435,53.513594
902124,200997NC04005,-3.971304,55.965402
1490235,2.01396E+12,-3.946491,56.154213
708969,200850EC2E138,-4.134107,50.371631
1085748,201104CC11020,-2.779134,53.661946
1471459,201350JS2D001,-3.683668,50.481945
479995,20073102D0653,-1.073576,52.993207
957712,2.01013E+12,-1.619008,53.835758
1396875,201311SK06553,-1.451307,54.654499
879604,2.00952E+12,-2.547145,51.453393
13783,200501QA10053,-0.341412,51.584209
241251,200606N056451,-2.2888,53.542635
409782,200701YR90678,-0.061938,51.588019
398574,200701MM70614,-0.063902,51.473844
931707,201004CL10115,-2.684253,53.668845
1511672,201401SX20676,-0.187369,51.646497
1762946,2.01553E+12,-2.08155,51.910159
423304,200706B084955,-2.236644,53.47165
1000836,20104100F0960,-0.322996,51.76658
159272,200550A41L541,-5.054467,50.261579
491635,2.00736E+12,1.300446,52.649691
778781,200906P021944,-2.154749,53.612545
566910,200797LA02406,-4.539109,55.937121
902936,200997QC04012,-3.844032,55.734974
895198,2.00993E+12,-3.743585,56.36261
303025,200634WS03818,-0.99527,52.216168
1031558,201050GA2C005,-4.890587,50.343046
199006,200601BS70314,-0.208303,51.522362
118594,200537L011717,1.750002,52.480056
817562,200922F904606,-2.754311,52.798268
878248,2.00952E+12,-2.754093,50.961986
1295443,201236T120168,1.116584,52.839846
815075,2.00922E+12,-1.814217,52.672505
601687,200805DD28092,-2.760142,53.453107
492049,2.00736E+12,0.821475,52.571246
1668261,201504EG15200,-2.468644,53.867625
391992,200701FH10591,-0.250032,51.516787
695630,200845SU31513,-0.691416,51.363648
1379271,2.01303E+12,-2.729671,54.245435
1003413,201042I164805,0.083112,51.744885
753594,200901QK50536,-0.260993,51.550672
998047,2010400B03484,-0.283333,52.112107
1163264,201143W203111,-1.390522,51.53617
107980,2.00533E+12,-1.161884,52.632828
464850,200720Z030901,-1.910175,52.539296
1670846,2.01505E+12,-2.983484,53.651259
210259,200601PL60175,-0.042658,51.445343
444142,2.00713E+12,-1.843983,53.651283
556028,200763AC13007,-4.082154,51.697061
1082506,201101ZD30819,-0.129962,51.326714
807937,200920G016002,-2.093163,52.614809
480567,20073102D3772,-1.078692,52.934814
348785,2.00647E+12,-0.226655,50.846453
1759848,2.01552E+12,-2.998877,51.237587
43893,200506K036666,-2.529056,53.543612
527599,2.00746E+12,0.510392,51.111021
126505,200542C079612,0.630211,51.658723
1027218,2.01047E+12,-0.776853,50.850729
1169478,201145GU65288,-0.582498,51.253032
1476627,2.01354E+12,-2.200537,51.464417
1687614,20151326Q1079,-1.776924,53.804385
1482440,2.01362E+12,-3.191058,51.497897
811672,200920M066202,-1.479796,52.388859
118289,200537G018951,1.079436,52.14625
324249,200643P190046,-1.424275,52.024749
1479737,201360P047502,-4.364973,52.900549
1247110,2.01207E+12,-2.34277,53.086125
188576,2.00594E+12,-2.800598,56.335629
1082183,201101ZD30446,-0.121,51.387902
1085924,201104CJ11112,-2.891007,53.571719
1347426,2.01292E+12,-2.088933,57.122316
847413,200942I408311,0.528608,51.721931
1039386,201054EZ08510,-2.06536,51.389821
229036,200604EL06029,-2.361374,53.753576
1377212,201301YR90630,-0.073286,51.582541
290405,200630C000109,-1.341478,53.304494
562884,2.00795E+12,-3.525113,55.909098
1696545,2015170M21935,-1.191002,54.549882
952670,2.01012E+12,-1.557544,54.044158
1762240,2.01552E+12,-2.609003,51.470833
412548,2.00703E+12,-2.962735,55.010776
1600411,2.01444E+12,-0.809425,51.309155
735259,2.00896E+12,-3.969901,56.170862
1532133,201406Q094749,-2.115082,53.544008
338472,200645WA94400,-0.802909,51.213768
1627378,2.01461E+12,-3.024733,51.642115
1018368,201045RU54227,-0.527042,51.400814
1658027,201501TD00066,0.014653,51.472845
866480,2.00946E+12,1.172149,51.078197
1222225,201201QA10151,-0.266767,51.599856
542070,2.00752E+12,-2.628847,50.945552
1044842,2.01062E+12,-3.482488,51.732328
1659044,201501TX20688,-0.250284,51.488158
411687,2.00703E+12,-2.905127,54.380679
994654,2.01036E+12,1.283822,52.666612
1356581,201301CP00318,-0.081568,51.516131
1096119,201106Q052446,-2.096079,53.536294
1285311,201231D260812,-1.125561,52.93773
1489326,2.01395E+12,-3.203477,55.896757
345523,2.00647E+12,-0.107038,50.814984
1735412,201543P325035,-0.914577,51.70536
260008,2.00613E+12,-1.572352,53.761627
496683,2007400D00620,-0.520692,51.885589
24136,200501YE80663,-0.094181,51.672988
233780,200605EE09949,-2.966628,53.44748
1716102,2.01532E+12,-4.00E-05,52.762888
1525180,201404TA14063,-2.580766,53.609178
452160,200714H114607,-1.527993,53.31976
1491287,201397GA00407,-4.296087,55.851719
1274128,2.01221E+12,-2.009946,52.980095
1039495,20105500C0098,-1.875802,50.747272
249951,2.0061E+12,-1.406334,54.919317
846116,200942I268708,0.721757,51.545473
1166622,2.01144E+12,-1.206253,50.861904
986309,201032C306110,-0.134852,53.142847
675751,20084100G0052,-0.253961,51.955398
779221,200906Q022108,-2.133031,53.531854
1074318,201101TA01154,-0.125849,51.497782
895616,2.00994E+12,-3.465169,56.075707
29938,200504BB05106,,
93590,200522GB40230,-2.420929,52.694648
1533410,2.01407E+12,-2.584115,53.377198
1724280,201537EA90352,1.6013,52.331181
680197,200842I354510,0.91186,51.889873
1034661,2.01052E+12,-2.493417,51.409032
1251508,2.0121E+12,-1.845873,55.106524
377868,2.00694E+12,-3.035462,56.317806
813290,2.00922E+12,-2.172786,52.430603
1098554,2.01107E+12,-2.301382,53.081743
969635,201020N054340,-1.781041,52.56367
523116,2.00746E+12,0.559007,51.377447
1259521,2.01213E+12,-1.785848,53.658833
